Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Abart Galli, Sunar Gaun, Kuleshwor, Kathmandu",6,5,3,2,South,,0-9-2-0 Aana,11 Feet / Concrete,3318 Sq. Feet,5 months ago,"NPR. 58,50,000 Per Aana"
"Sital height, Imadol, Lalitpur",7,4,3.5,2,South,2076,0-4-2-0 Aana,13 Feet / Gravelled,2700 Aana,4 years ago,"NPR. 2,20,00,000 Total price"
"Hattisar, Hattisar, Kathmandu",0,0,3,0,West,,3.85 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 4,35,00,000"
"Shivapuri Chowk, Budhanilkantha, Kathmandu",5,5,2.5,2,North,,0-8-0-0 Aana,13 Feet / Blacktopped,3000 Sq. Feet,8 months ago,"NPR. 7,50,00,000 Total Price"
"Wai-Wai Noodles Factory, Bhaisepati, Lalitpur",0,0,3,0,South East,,0-5-2-0 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,50,00,000 Total price"
"Southern height housing, Thaiba, Harisiddhi, Lalitpur",3,3,2,1,South West,,0-5-2-0 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 2,50,00,000"
"Behind Swimming Pool, Imadol, Lalitpur",7,4,3,0,South West,,3.3 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 2,25,00,000"
"Tejbinayak Chowk, Gothatar, Kathmandu",7,3,,1,South West,,0-3-2-0 Aana,20 Feet / Soil Stabilized,N/A Aana,10 months ago,"NPR. 2,90,00,000 Total Price"
"Birauta, Pokhara, Pokhara",2,1,1,0,North,,18*35 Sq. Feet,16 Feet / Gravelled,N/A Sq. Feet,4 years ago,"NPR. 1,35,00,000 Total price"
"Kapan, Kapan, Kathmandu",2,1,1,0,North,,0-3-5-0 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 75,00,000 Total price"
"Bhaktapur, Bhaktapur, Bhaktapur",0,0,,0,West,,0-4-5-0 Sq. Feet,13 Feet / Gravelled,N/A Sq. Feet,4 years ago,"NPR. 1,40,00,000"
"Nearby Namuna Planning, Tokha, Kathmandu",8,4,4,0,West,,0-3-2-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,70,00,000"
"Near Buddha Chowk, Ram Bazar, Pokhara",0,0,3,0,North East,,4 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 3,00,00,000"
"Tokha road, Grande Villa, Kathmandu",0,0,3,0,South,2017,2.5 Aana,16 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,10,00,000"
"nearby Panityanki, Tikathali, Lalitpur",2,1,1.5,2,West,2076,0-2-3-0 Aana,13 Feet / Gravelled,646 Aana,4 years ago,"NPR. 1,10,00,000 Total price"
"Nearby, Thali Buspark, Thali, Kathmandu",0,0,,0,West,,3 Aana,10 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,10,00,000 Total price"
"Brihat Cluster, Balkhu, Kathmandu",4,3,,0,West,,0-3-1-2 Sq. Feet,20 Feet,1650 Sq. Feet,4 years ago,"NPR. 2,28,35,000"
"Bhangal, Sundarbasti, Budhanilkantha, Kathmandu",7,0,2,0,North,,0-3-1-0 Aana,15 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,78,00,000"
"Chamati, Chamati, Kathmandu",7,5,,1,North,,0-3-1-0 Aana,20 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 3,40,00,000 Total Price"
"Ram Mandir, Kapan, Kathmandu",0,0,,0,North,,0-3-2-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,85,00,000 Total price"
"Lokanthali, Lokanthali, Bhaktapur",16,3,3,0,North,,6 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,70,00,000 Total price"
"Sitapaila, Sitapaila, Kathmandu",5,5,3,4,East,,9 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 4,50,00,000"
"Jyoti Nagar, Budhanilkantha, Kathmandu",6,4,3,2,East,,4.5 Aana,13 Feet / Blacktopped,4 Aana,4 years ago,"NPR. 2,55,00,000 Onwards"
"Sital height, Imadol, Lalitpur",6,3,2.5,2,North,2076,0-3-2-0 Aana,13 Feet / Gravelled,1900 Aana,4 years ago,"NPR. 2,00,00,000 Total price"
"Sukedhara, Budhanilkantha, Kathmandu",0,3,3,2,East,2018,4.1 Aana,13 Feet / Blacktopped,3.5 Aana,4 years ago,"NPR. 2,35,00,000 Onwards"
"Ramkot, Sitapaila, Kathmandu",4,4,2,2,South West,,0-10-2-3 Aana,18 Feet / Blacktopped,1860 Aana,1 year ago,"NPR. 7,31,00,000 Total Price"
"Mandikatar, Mandikatar, Kathmandu",4,3,3,0,East,,3.13 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 2,25,00,000"
"Shantinagar, Baneshwor, Kathmandu",13,5,3.5,1,North West,2060,0-4-0-0 Aana,12 Feet / Concrete,N/A Aana,2 months ago,"NPR. 4,40,00,000 Total Price"
"Sanagaun Height, Imadol, Lalitpur",4,4,2.5,1,West,2077,0-3-1-1 Aana,20 Feet / Gravelled,2100 Aana,3 years ago,"NPR. 1,90,00,000 Total price"
"Bhaktapur, Bhaktapur, Bhaktapur",9,1,3,1,West,2076,0-6-0-0 Aana,20 Feet / Gravelled,0-3-0-0 Aana,4 years ago,"NPR. 2,15,00,000"
"Om Shanti Chowk, Shantinagar, Kathmandu",0,0,3.5,2,East,,0-3-2-0 Aana,14 Feet / Blacktopped,N/A Aana,2 years ago,"NPR. 4,50,00,000 Total"
"Kalanki, Kalanki, Kathmandu",7,4,3,0,East,,6.1 Aana,14 Feet,3400 Aana,4 years ago,"NPR. 3,80,00,000"
"Ramkot, Sitapaila, Kathmandu",4,4,2.5,1,East,2075,0-4-0-0 Aana,13 Feet / Blacktopped,2100 Aana,4 years ago,"NPR. 2,40,00,000 Total price"
"Kirtipur, Kirtipur, Kathmandu",0,0,,0,South,,1 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 40,00,000 Total price"
"Gurung Tole, Payautar Road, Kapan, Budhanilkantha, Kathmandu, Kapan, Kathmandu",7,3,3,2,South,2078,0-5-0-1 Aana,13 Feet / Gravelled,2600 Sq. Feet,2 years ago,"NPR. 2,95,00,000 Total price"
"Maitrinagar, Kirtipur, Kathmandu",0,0,,0,South,,3 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,50,00,000 Total price"
"Kadaghari, Kadaghari, Kathmandu",7,2,3,1,West,2079,0-4-0-2 Aana,13 Feet / Gravelled,3500 Sq. Feet,5 days ago,"NPR. 3,80,00,000 Onwards"
"Tyanglaphat, Kirtipur, Kathmandu",12,0,,0,North,,0-5-5-0 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,30,00,000"
"Mahalaxmi nagarpalika pachhadi ko road najik, Mahalaxmi Nagarpalika, Lalitpur",2,4,3,1,North,2020,0-3-3-0 Aana,12 Feet / Gravelled,0-3-3-0 Aana,3 years ago,"NPR. 2,15,00,000 Onwards"
"Naikap Naya Bhanjyang, Naikap, Kathmandu",5,2,3,1,South,2067,0-6-3-3 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,95,00,000 Total price"
"Bafal, Bafal, Kathmandu",5,3,2,3,South West,,0-4-0-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,85,00,000"
"Imadol Swimming Pool, Imadol, Lalitpur",4,3,3,0,South,,0-3-3-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,35,00,000 Total price"
"Makalbari, Makalbari, Kathmandu",2,1,1,1,South West,2068,3.2 Aana,12 Feet / Gravelled,750 Aana,4 years ago,"NPR. 1,05,00,000 Total price"
"Harisiddhi, Harisiddhi, Lalitpur",7,3,2,3,East,,0-4-0-0 Aana,13 Feet / Blacktopped,1369.181 Sq. Feet,3 days ago,"NPR. 2,95,00,000 Onwards"
"Baluwatar Area, Baluwatar, Kathmandu",5,5,3,2,West,,0-6-2-0 Aana,20 Feet / Paved,N/A Sq. Feet,2 years ago,"NPR. 6,50,00,000 Total price"
"Nepal medicity hospital near, Nakkhu, Lalitpur",4,5,3,1,North,2019,0.3.0.0 Aana,13 Feet / Soil Stabilized,1900 Aana,4 years ago,"NPR. 1,80,00,000 Onwards"
"Bafal, Kathmandu, Bafal, Kathmandu",5,3,2,1,South East,2079,0-3-1-0 Aana,14 Feet / Concrete,N/A Aana,2 weeks ago,"NPR. 2,50,00,000 Total Price"
"Nearby, Buddha party palace, Imadol, Lalitpur",4,3,2.5,1,South,2076,0-3-0-0 Aana,13 Feet / Gravelled,650 Aana,4 years ago,"NPR. 1,80,00,000 Total price"
"Force Park Bus Stop, Kadaghari, Kathmandu",6,0,,0,North,,0-2-3-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price"
"Nearby, Makalu Petrol Pump, Kalanki, Kathmandu",7,5,3,3,North East,,0-13-1-2 Aana,15 Feet / Blacktopped,N/A Ropani,4 years ago,"NPR. 67,50,000 Per Aana"
"Ganeshchowk, Budhanilkantha, Budhanilkantha, Kathmandu",6,5,2.5,3,South East,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,1 week ago,"NPR. 4,60,00,000 Total Price"
"Purano Kalimati, Kalimati, Kathmandu",0,0,,0,East,,0-3-3-0 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 2,95,00,000"
"Mudkhu Tarkeshwor, Tarkeshwor, Kathmandu",5,3,2,9,North,2068,13-0-0-0 Ropani,20 Feet / Paved,73945.989 Sq. Feet,2 weeks ago,"NPR. 26,00,00,000 Onwards"
"Baluwakhani, Kapan, Kathmandu",6,4,3,1,East,2075,0-4-2-0 Aana,13 Feet / Concrete,N/A Sq. Feet,5 months ago,"NPR. 3,50,00,000 Total Price (Negotiable)"
"Gothatar, Kadaghari, Kathmandu",0,0,,0,North,,0-3-5-0 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,15,00,000 Total price"
"near Aadeshwor Planning, Sitapaila, Kathmandu",6,5,2.5,1,East,,0-4-0-0 Aana,14 Feet / Concrete,2200 Aana,4 years ago,"NPR. 2,10,00,000 Total price"
"Basbari, Basbari, Kathmandu",9,4,4,4,South,,0-12-3-2 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 6,30,00,000"
"Imadol, near tempo park, Imadol, Lalitpur",0,3,3,1,East,,0.4.0.0 Aana,12 Feet,0-4.0.0 Aana,4 years ago,"NPR. 2,10,00,000 Onwards"
"Dhulikhel near KU, Dhulikhel, Kavre",11,2,3,2,South,2018,817 Sq. Feet,10 Feet / Gravelled,0-4-0-2 Sq. Feet,4 years ago,"NPR. 1,52,00,000 Onwards"
"Pokhara Gumba Fade, Lekhnath, Pokhara",0,0,,0,South,,17*45 Haat,30 Feet / Gravelled,N/A Haat,4 years ago,"NPR. 1,20,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,3,0,North,2078,0-4-0-2 Aana,16 Feet / Concrete,2350 Sq. Feet,2 months ago,"NPR. 4,65,00,000"
"Nearby Sumeru Hospital, Dhapakhel, Lalitpur",3,4,2.5,1,West,,0-2-2-0 Aana,12 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,77,00,000"
"Nearby Laxmi Furniture, Imadol, Lalitpur",5,4,2.5,1,West,2077,0-3-1-0 Aana,20 Feet / Gravelled,2000 Sq. Feet,3 years ago,"NPR. 1,80,00,000 Total price"
"Nearby L.R.I School., Kalanki, Kathmandu",4,3,2.5,1,North West,2076,0-4-0-0 Aana,10 Feet / Blacktopped,1650 Aana,4 years ago,"NPR. 1,70,00,000 Total price"
"Kadaghari, Kadaghari, Kathmandu",5,0,3,0,West,,0-4-0-0 Aana,12 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,90,00,000 Total price"
"RAMKOT, Sitapaila, Kathmandu",3,3,2.5,2,West,2074,0-3-2-0 Aana,20 Feet / Blacktopped,1744.78 Sq. Feet,2 months ago,"NPR. 3,46,50,000"
"Imadol, Baghdol, Lalitpur",4,4,2,1,West,2076,0-3-2-3 Sq. Feet,20 Feet / Gravelled,710 Sq. Feet,4 years ago,"NPR. 1,95,00,000"
"Jorpati, Jorpati, Kathmandu",4,3,3,2,North West,2066,0-3-0-0 Sq. Feet,14 Feet / Blacktopped,715 Sq. Feet,2 years ago,"NPR. 2,25,00,000"
"Civil Homes II Tinthana, Chandragiri, Chandragiri, Kathmandu",3,3,2,1,West,2011,0-8-1-3 Aana,16 Feet / Paved,1577 Aana,5 months ago,"NPR. 4,10,00,000 Total Price"
"sital height, Imadol, Lalitpur",5,3,2.5,1,West,2076,0-2-2-0 Aana,13 Feet / Gravelled,1400 Aana,4 years ago,"NPR. 1,50,00,000 Total price"
"Dhapasi, Dhapasi, Kathmandu",4,3,3,0,East,,3.1 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,70,00,000 Total price"
"Manpower Galli, Tilganga, Ghaushala, Kathmandu, Nepal, Gaushala, Kathmandu",0,8,8,1,North West,2070,0-3-0-1 Aana,22 Feet / Blacktopped,1100 Sq. Feet,2 years ago,"NPR. 8,50,00,000 Per Aana"
"Mulpani, Mulpani, Kathmandu",7,6,5,4,South East,,3.1 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,60,00,000"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,4,4,1,West,2078,0-4-2-0 Aana,20 Feet / Blacktopped,3306 Sq. Feet,2 months ago,"NPR. 4,75,00,000"
"Sundarbasti, Bhangal, Kathmandu",4,3,3,0,East,,4 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 2,50,00,000"
"bhadrakali imadol, Imadol, Lalitpur",2,2,1,1,North East,,3 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,00,00,000 Total price"
"chovar, Kirtipur, Kathmandu",3,4,2,1,East,2021,4 Aana,20 Feet / Blacktopped,4 Aana,2 months ago,"NPR. 2,70,00,000 Onwards"
"Bhangal, Bhangal, Kathmandu",0,0,,0,South East,,4 Aana,14 Feet,N/A Aana,4 years ago,"NPR. 2,45,00,000"
"Ringroad Bafal, Bafal, Kathmandu",10,3,3,2,West,2066,0-12-0-0 Aana,13 Feet / Blacktopped,3100 Sq. Feet,1 year ago,"NPR. 7,50,00,000 Total Price"
"Shiva Mandir, Kapan, Kathmandu",7,0,3,4,South,,4 Aana,16 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 2,40,00,000"
"Nearby Sun City Apartment, Pepsicola, Kathmandu",5,4,2.5,2,North East,2075,0-3-0-0 Aana,18 Feet / Gravelled,95.39 Aana,3 years ago,"NPR. 2,50,00,000 Total price"
"Buddhanagar, Baneshwor, Kathmandu",0,0,3,3,South,,0-4-2-0 Aana,8 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,30,00,000 Total price"
"opposite of Green hill city, Imadol, Lalitpur",5,3,2.5,2,East,2076,0-3-1-0 Aana,20 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,15,00,000 Total price"
"Aloknagar, Minbhawan, Kathmandu, Nepal, Minbhawan, Kathmandu",4,4,3,1,South West,2068,0-5-0-0 Aana,13 Feet / Blacktopped,2300 Aana,2 years ago,"NPR. 3,90,00,000 Total price"
"024, Budhanilkantha, Kathmandu",5,4,3,5,East,2076,2845 Sq. Feet,12 Feet / Blacktopped,3420 Sq. Feet,4 years ago,"NPR. 3,50,00,000 Onwards"
"Gaushala, Kathmandu, Gaushala, Kathmandu",5,4,3.5,1,South,,0-3-1-2 Aana,15 Feet / Blacktopped,N/A Aana,1 month ago,"NPR. 3,95,00,000 Total Price"
"Aakaashe Dhara, Kapan, Kathmandu",11,0,3,4,South,,4 Aana,20 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,04,00,000"
"Bansbari, Budhanilkantha, Kathmandu",6,4,2.5,3,East,2078,0-5-0-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,1 month ago,"NPR. 4,65,00,000 Total Price"
"Nearby Kundalini Digonosis, Chandol, Kathmandu",5,6,2.5,2,East,2072,0-9-3-2 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 8,00,00,000 Total price"
"Basundhara, Basundhara, Kathmandu",2,3,3,0,North,,5 Aana,14 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,75,00,000"
"Nearby Nagar Bikash Planning, Raniban, Kathmandu",5,3,2.5,2,West,2071,0-4-2-0 Aana,10 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 2,35,00,000"
"Sital height, Imadol, Lalitpur",5,2,2.5,1,West,2076,0-3-2-0 Aana,13 Feet / Gravelled,2000 Aana,4 years ago,"NPR. 1,85,00,000 Total price"
"Bhadrakali Petrol Pump, Imadol, Lalitpur",5,3,2.5,1,East,2077,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,20,00,000 Total price"
"Nayabasti, Imadol, Lalitpur",5,4,3,0,North West,,3 Aana,11 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,80,00,000 Total price"
"Budhanilkantha,Mahankal, Budhanilkantha, Kathmandu",4,4,2,2,East,2080,4 aana 2 daam Aana,13 Feet / Gravelled,N/A Aana,3 weeks ago,"NPR. 3,50,00,000"
"Sukedhara, Sukedhara, Kathmandu",5,4,2.5,0,South,,6 Aana,15 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 4,00,00,000 Total price"
"RAMKOT, Sitapaila, Kathmandu",7,5,2.5,2,North,2074,0-4-0-2 Aana,20 Feet / Blacktopped,2009.63 Aana,2 months ago,"NPR. 4,12,50,000"
"Mandikhatar, kapan, Mandikatar, Kathmandu",6,5,2.5,1,West,2080,0-3-1-0 Aana,13 Feet / Concrete,N/A Sq. Feet,5 days ago,"NPR. 3,15,00,000 Total price"
"Baluwakhani, Kapan, Kathmandu",7,2,2.5,1,South East,2077,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 2,40,00,000 Total Price"
"Thashikhel-5,  Near Open University Manbhawan, Amar Colony, Thasikhel, Lalitpur",0,0,2,0,East,2070,4 Aana,21 Feet / Blacktopped,0-4-1-2/139.11 Aana,4 years ago,"NPR. 4,65,00,000 Onwards"
"Tarkeshwor, Tarkeshwor, Kathmandu",6,4,3,3,North West,2078,0-3-2-0 Aana,13 Feet / Paved,N/A Aana,2 years ago,"NPR. 3,60,00,000"
"Rai Tol, Hetauda, Makwanpur",0,0,,0,North,,8 Dhur,15 Feet,N/A Dhur,4 years ago,"NPR. 1,60,00,000 Total price"
"Bojepokhari, Panii Tyanki, Imadol, Lalitpur",5,3,2.5,1,North West,2076,0-4-0-0 Aana,10 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,20,00,000 Total price"
"Nearby Colony home, Sukedhara, Kathmandu",6,4,4,0,South,,4 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 2,75,00,000"
"Sital Height, Imadol, Imadol, Lalitpur",4,3,3,1,East,2078,0-3-0-0 Aana,13 Feet / Soil Stabilized,1500 Aana,2 years ago,"NPR. 2,15,00,000 Total price"
"Hepali Height, Budhanilkantha, Kathmandu",5,5,2.5,8,South East,,2-0-0-0 Ropani,20 Feet / Blacktopped,5000 Ropani,2 months ago,"NPR. 55,00,000 per aana"
"Balaju, Balaju, Kathmandu",0,0,,0,South,,4 Aana,22 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,20,00,000 Total price"
"Nearby, Rangasala, Goldhunga, Kathmandu",3,1,1,0,West,,2.5 Aana,10 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 65,00,000"
"Minbhawan Area, Kathmandu, Nepal, Minbhawan, Kathmandu",12,4,4,3,East,2062,0-8-0-0 Aana,18 Feet / Concrete,2800 Aana,2 years ago,"NPR. 8,00,00,000 Total Price"
"Bhaisepati, Bhaisepati, Lalitpur",4,4,3,1,South,2012,4.3 Aana,12 Feet / Paved,N/A Aana,4 years ago,"NPR. 3,15,00,000"
"Samakhusi, Samakhusi, Kathmandu",0,0,3,0,East,,8 Sq. Feet,13 Feet,N/A Sq. Feet,4 years ago,"NPR. 5,50,00,000"
"385/25, Dhumbarahi, Kathmandu",10,7,4,2,North,2067,0-5-2-0 Aana,13 Feet / Concrete,3300 Sq. Feet,1 year ago,"NPR. 5,50,00,000 Total Price"
"Kharibot Chowk Bus Stop, Kapan, Kathmandu",0,0,,0,East,2073,3 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,50,00,000 Total price"
"Bhairab Chaur, Gokarneshwor, Kathmandu",2,2,1.5,1,South East,2075,0-3-1-0 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,05,00,000 Total price"
"Near Yellow Gumba, Sanobharyang, Kathmandu",6,5,3,20,North East,,3-12-0-0 Ropani,20 Feet / Blacktopped,N/A Ropani,8 months ago,"NPR. 28,00,00,000 Total Price"
"nearby Pawan prakriti school., Tikathali, Lalitpur",2,1,1.5,1,North East,2076,0-4-0-2 Aana,16 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,50,00,000 Total price"
"RAMKOT, Sitapaila, Kathmandu",4,4,2.5,2,East,2074,0-4-0-0 Aana,20 Feet / Blacktopped,2009.63 Aana,2 months ago,"NPR. 3,85,00,000"
"Setipakha, Imadol, Lalitpur",4,1,1.5,0,North East,,0-5-1-0 Aana,4 Feet / Concrete,N/A Aana,4 years ago,"NPR. 1,20,00,000 Total price"
"Sukedhara, Sukedhara, Kathmandu",0,0,,0,North,,4 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,75,00,000"
"Nilopul, Sukedhara, Sukedhara, Kathmandu",5,4,3,4,East,,4 Aana 3 Paisa 1 Daam Aana,0 Feet,N/A Aana,3 years ago,"NPR. 2,60,00,000 Onwards"
"Bhangal, Budhanilkantha, Kathmandu",13,0,,0,West,,0-5-5-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,62,00,000 Total price"
"Hattigauda, Hattigauda, Kathmandu",0,0,3,0,South,,3 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 1,80,00,000"
"Padma colony, Sitapaila, Kathmandu",0,0,,0,West,,5 Aana,20 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,05,00,000 Total price"
"Tikathali, Tikathali, Lalitpur",7,6,2,3,West,,0-4-0-0 Aana,23 Feet / Paved,1369.181 Sq. Feet,2 days ago,"NPR. 4,45,00,000 Onwards"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,4,3,1,East,2078,0-3-3-2 Aana,20 Feet / Blacktopped,2207 Aana,2 months ago,"NPR. 4,20,00,000"
"Nearby Department of Transport Management, Sanobharyang, Kathmandu",5,5,2.5,1,North,,0-9-0-0 Aana,20 Feet / Blacktopped,3300 Sq. Feet,5 months ago,"NPR. 8,00,00,000 Total Price"
"Balkhu Height, Balkhu, Kathmandu",6,5,3,3,South,2068,0-8-0-0 Aana,20 Feet / Blacktopped,N/A Aana,1 year ago,"NPR. 7,25,00,000 Total Price"
"Gandhi Adarsha H. S. School/College, Kadaghari, Kathmandu",7,0,2,0,North,,0-2-2-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,32,00,000 Total price"
"Kantipur college, Lubhu, Lalitpur",5,3,2.5,2,South,,0-3-2-0 Aana,20 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,70,00,000 Total price"
"Ochu height, Koreran college, Imadol, Lalitpur",8,3,2.5,1,South,2076,0-3-0-0 Aana,13 Feet / Gravelled,95 Aana,4 years ago,"NPR. 1,70,00,000 Total price"
"Chandol, Chandol, Kathmandu",6,4,3,4,South East,,6 Aana,14 Feet,N/A Sq. Feet,4 years ago,"NPR. 4,00,00,000"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,1,South,2078,4 Aana,16 Feet / Concrete,2350 Sq. Feet,2 months ago,"NPR. 4,25,00,000"
"Kaski, Pokhara, Pokhara",0,0,,0,West,,0-7-2-0 Aana,15 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 95,00,000 Total price"
"Sital Height, Imadol, Lalitpur",5,4,2.5,1,North East,2077,0-3-0-0 Aana,12 Feet / Gravelled,1800 Aana,3 years ago,"NPR. 1,85,00,000 Total price"
"Maharajgunj, Maharajgunj, Kathmandu",13,0,4.5,0,South East,,13 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 7,00,00,000"
"Malpot Office, Chabahil, Kathmandu",0,0,,0,North,,8 Aana,14 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,80,00,000 Total price"
"Jyoti Nagar Road, Kapan, Kathmandu",11,5,3,0,East,,4 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,65,00,000 Total price"
"Budhanilkantha, Pasikot, Kathmandu",2,1,,0,East,,0-4-3-0 Aana,12 Feet / Soil Stabilized,N/A Ropani,4 years ago,"NPR. 1,38,00,000 Onwards"
"Opposite of Green hill city, Imadol, Lalitpur",2,1,1.5,1,West,2076,0-3-1-2 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price"
"Manamaiju, Kathmandu, Manamaiju, Kathmandu",7,5,2.5,2,South East,2069,1-0-0-0 Ropani,13 Feet / Concrete,N/A Ropani,2 weeks ago,"NPR. 8,00,00,000 Total Price"
"Nearby,  Grandy Hospital, Tokha, Kathmandu",2,1,1,0,North,,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,15,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",6,4,3,3,West,,4.5 Aana,13 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 2,50,00,000"
"Mandikatar Tennis Court, Budhanilkantha, Kathmandu",7,5,4,2,West,2078,0-5-0-0 Aana,13 Feet / Blacktopped,3200 Sq. Feet,1 year ago,"NPR. 4,95,00,000 Total price"
